v1,city_id,city,year,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v8,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted,lg101214,urban_population,total_population,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,agri_gdp,nonagri_gdp,non_agri_share,agri_gdp_empgr,nonagri_gdp_empgr,ln_total_population,urban_pop_percent
10,110000,北京市,2011,4.7674356,9.6288528,11.325521,4012,110000,Beijing,9.7998686,4.8496084,11.490576,9.8069248,2,1,23,1,1,17,1.1110072,1.4356868,1.0580336,8.9492359,12136546,14583986,.34,24.209999,75.449997,-.16,99.660004,.16,127.69038,18031.375,.9929682,-20.43046,2885.02,16.495434,.83218306
11,110000,北京市,2012,4.8282328,9.7075949,11.394634,4383,110000,Beijing,9.9003162,4.944128,11.583091,9.9073315,2,1,23,1,1,17,1.1082554,1.4263921,1.0575458,8.9185343,16533811,19758804,.31,22.68,77.010002,-.029999999,99.690002,.029999999,140.34842,19936.674,.99300951,-4.2104526,598.10022,16.79911,.83678198
12,110000,北京市,2013,4.8856668,9.7803831,11.458195,4754,110000,Beijing,9.8152924,4.9917622,11.477465,9.8232985,2,1,23,1,1,17,1.1055613,1.4176701,1.0570811,8.8800917,16795728,19853414,.41999999,21.940001,77.639999,.11,99.580002,-.11,147.19557,18311.643,.99202573,16.191513,-2014.2806,16.803886,.8459869
13,110000,北京市,2014,4.9398799,9.8479748,11.516986,5125,110000,Beijing,9.871994,4.984848,11.536798,9.879509,2,1,23,1,1,17,1.1029565,1.4095111,1.0566415,8.842063,16917878,19943294,.43000001,21.16,78.410004,.0099999998,99.57,-.0099999998,146.18135,19379.945,.99251354,1.4618134,-193.79945,16.808403,.84829909
14,110000,北京市,2015,4.9912801,9.9112167,11.57184,5496,110000,Beijing,9.9071741,5.0353055,11.561064,9.9148035,2,1,23,1,1,17,1.1004498,1.4018651,1.0562278,8.794096,17076888,20116886,.5,19.43,80.07,.07,99.5,-.07,153.74655,20073.867,.99239916,10.762259,-1405.1707,16.81707,.84888327
15,110000,北京市,2016,5.0403876,9.9710169,11.623637,5867,110000,Beijing,9.9485674,5.0632181,11.599051,9.9560957,2,1,23,1,1,17,1.0980345,1.3946576,1.0558316,8.7653208,17166484,20205976,.47,18.5,81.029999,-.029999999,99.529999,.029999999,158.09848,20922.227,.99250019,-4.7429543,627.66681,16.821489,.84957463
16,110000,北京市,2017,5.087832,10.028271,11.673232,6238,110000,Beijing,9.9861507,5.0230174,11.618679,9.9931173,2,1,23,1,1,17,1.0956974,1.387808,1.0554451,8.6994495,17242334,20291018,.41999999,17.49,82.089996,-.050000001,99.580002,.050000001,151.86887,21723.518,.99305755,-7.5934434,1086.1759,16.825689,.84975207
17,110000,北京市,2018,5.1343012,10.083819,11.721417,6609,110000,Beijing,10.026331,5.0538492,11.649254,10.033233,2,1,23,1,1,17,1.0934259,1.3812444,1.0550649,8.6811581,17209256,20369372,.33000001,16.549999,83.129997,-.090000004,99.68,.1,156.62419,22614.146,.99312168,-14.096178,2261.4148,16.829542,.84485942
18,110000,北京市,2019,5.1803198,10.138396,11.768849,6980,110000,Beijing,10.053488,5.1012173,11.689371,10.060531,2,1,23,1,1,17,1.0912058,1.3748999,1.05469,8.644454,17299328,20441914,.050000001,15.57,84.379997,-.28,99.949997,.27000001,164.22169,23236.689,.99298227,-45.982075,6273.9063,16.833097,.84626752
19,110000,北京市,2020,5.226212,10.192595,11.816004,7351,110000,Beijing,10.040947,5.1756916,11.7051,10.048627,2,1,23,1,1,17,1.0890217,1.3687137,1.0543228,8.6340504,17082172,20511508,,,,,,,176.91893,22947.104,.99234915,,,16.836496,.83280915
20,120000,天津市,2001,4.2130761,7.9716377,10.16654,304,120000,Tianjin (city),7.9413891,4.1842375,10.144526,7.9644709,3,1,18,2,1,14,1.1148134,1.4493884,1.1069053,8.9870844,6838726,9817051,.56999999,51.900002,47.529999,-.029999999,99.43,-.07,65.643425,2811.2629,.97718263,-1.9693027,-196.78841,16.099632,.69661713
21,120000,天津市,2002,4.28795,8.0903473,10.274813,675,120000,Tianjin (city),7.9960675,4.2463427,10.189555,8.0193195,3,1,18,2,1,14,1.1127167,1.4373716,1.1053035,8.9876118,6867951,9867843,.58999997,49.959999,49.450001,.02,99.410004,-.02,69.84948,2969.2585,.97701645,1.3969896,-59.38517,16.104792,.69599313
22,120000,天津市,2003,4.3627515,8.2089815,10.38303,1046,120000,Tianjin (city),8.0833492,4.3046942,10.245925,8.1059456,3,1,18,2,1,14,1.1106809,1.4259244,1.1037605,8.9824762,7034297.5,10131957,.50999999,51.099998,48.400002,-.079999998,99.5,.090000004,74.04657,3240.0669,.9776572,-5.9237256,291.60602,16.131205,.69426841
23,120000,天津市,2004,4.437305,8.3272295,10.490924,1417,120000,Tianjin (city),8.1827364,4.4601126,10.357896,8.2066193,3,1,18,2,1,14,1.1087129,1.4150469,1.1022663,8.9724932,7226838.5,10217426,.44999999,49.93,49.619999,-.059999999,99.550003,.050000001,86.497246,3578.6338,.97639996,-5.1898346,178.93169,16.139605,.70730519
24,120000,天津市,2005,4.5112891,8.4444647,10.597884,1788,120000,Tianjin (city),8.4035912,4.4991126,10.562346,8.423542,3,1,18,2,1,14,1.1068076,1.4047283,1.1008066,8.9698086,7277574,10276223,.41999999,50.23,49.349998,-.029999999,99.580002,.029999999,89.937286,4463.0654,.9802466,-2.6981184,133.89195,16.145344,.70819539
25,120000,天津市,2006,4.5844393,8.5597,10.702967,2159,120000,Tianjin (city),8.6038904,4.5507498,10.750988,8.621109,3,1,18,2,1,14,1.1049387,1.3949245,1.0993824,8.9683771,7472319.5,10331546,.37,50.450001,49.18,-.050000001,99.629997,.050000001,94.703392,5452.832,.98292875,-4.7351699,272.6416,16.150713,.72325277
26,120000,天津市,2007,4.6564612,8.6718483,10.805139,2530,120000,Tianjin (city),8.7260752,4.6270657,10.861675,8.742528,3,1,18,2,1,14,1.1030807,1.3855951,1.0979995,8.9678917,7576196,10392458,.37,49.599998,50.029999,0,99.629997,0,102.21369,6161.4976,.98368162,0,0,16.156591,.72900903
27,120000,天津市,2008,4.7269754,8.7799311,10.903489,2901,120000,Tianjin (city),8.8485718,4.7285738,10.973278,8.864686,3,1,18,2,1,14,1.1012201,1.3767151,1.096666,8.9646988,7635721.5,10456699,.34999999,46.919998,52.720001,-.02,99.639999,.0099999998,113.13409,6964.4351,.98401511,-2.2626817,69.644348,16.162754,.73022294
28,120000,天津市,2009,4.7955303,8.8831043,10.997246,3272,120000,Tianjin (city),8.95821,4.8030162,11.079159,8.9737711,3,1,18,2,1,14,1.0993537,1.3682712,1.0953839,8.9660358,7690368,10524047,.37,47.700001,51.939999,.02,99.639999,0,121.87747,7771.4341,.98455942,2.4375494,0,16.169174,.73074245
29,120000,天津市,2010,4.8616772,8.9806976,11.085813,3643,120000,Tianjin (city),9.090353,4.8980765,11.186397,9.1053514,3,1,18,2,1,14,1.097487,1.3602616,1.0941585,8.9610853,7683150.5,10457248,.34999999,47.529999,52.130001,-.02,99.660004,.02,134.03172,8869.3164,.98511314,-2.6806345,177.38632,16.162806,.73472011
30,120000,天津市,2011,4.9249864,9.0722265,11.168798,4014,120000,Tianjin (city),9.2257996,5.0055847,11.313367,9.2403879,3,1,18,2,1,14,1.0956331,1.3526924,1.0929987,8.954566,7728038,10530766,.22,58.84,40.93,-.13,99.769997,.11,149.24432,10155.793,.98551732,-19.401762,1117.1372,16.169811,.73385334
31,120000,天津市,2012,4.9851189,9.1574841,11.246061,4385,120000,Tianjin (city),9.3223915,5.1021624,11.401595,9.3369799,3,1,18,2,1,14,1.093805,1.3455611,1.0919092,8.9471169,9764152,12958111,.19,56.259998,43.549999,-.029999999,99.809998,.039999999,164.37697,11185.7,.98551756,-4.9313087,447.42801,16.377232,.75351661
32,120000,天津市,2013,5.0419378,9.2366428,11.317825,4756,120000,Tianjin (city),9.3115873,5.1419888,11.378592,9.3269272,3,1,18,2,1,14,1.0920175,1.3388548,1.0908924,8.9384317,9967510,13024074,.18000001,54.709999,45.110001,-.0099999998,99.82,.0099999998,171.05562,11065.499,.98477685,-1.7105561,110.65499,16.382311,.76531428
33,120000,天津市,2014,5.0955982,9.3102903,11.384697,5127,120000,Tianjin (city),9.3681698,5.1372728,11.437797,9.3826046,3,1,18,2,1,14,1.0902874,1.332554,1.0899497,8.9324245,10017739,13083202,.17,55.279999,44.549999,-.0099999998,99.830002,.0099999998,170.25084,11709.664,.98566902,-1.7025083,117.09664,16.386839,.76569474
34,120000,天津市,2015,5.1465063,9.3792009,11.447441,5498,120000,Tianjin (city),9.3931065,5.1899185,11.450659,9.4079437,3,1,18,2,1,14,1.0886197,1.3266156,1.0890759,8.9291115,10074404,13197034,.18000001,51.34,48.48,.0099999998,99.82,-.0099999998,179.45393,12005.336,.98527229,1.7945393,-120.05336,16.395502,.76338392
35,120000,天津市,2016,5.1951714,9.444293,11.506951,5869,120000,Tianjin (city),9.4214439,5.217205,11.474117,9.4362659,3,1,18,2,1,14,1.0870117,1.3209841,1.0882548,8.924572,10133308,13255474,.30000001,47.669998,52.040001,.12,99.709999,-.11,184.41803,12350.402,.98528755,22.130163,-1358.5442,16.399921,.76446211
36,120000,天津市,2017,5.2422118,9.5065222,11.56413,6240,120000,Tianjin (city),9.477932,5.1760926,11.514801,9.4913845,3,1,18,2,1,14,1.0854566,1.3156034,1.0874704,8.9233427,10214364,13401006,.23,43.43,56.34,-.07,99.769997,.059999999,176.9899,13068.134,.98663735,-12.389293,784.08801,16.410841,.76220876
37,120000,天津市,2018,5.288301,9.566783,11.619798,6611,120000,Tianjin (city),9.5178013,5.2126536,11.545036,9.5312099,3,1,18,2,1,14,1.0839463,1.3104227,1.0867108,8.9187851,10154902,13453440,.19,38.91,60.889999,-.039999999,99.800003,.029999999,183.58057,13599.677,.98668092,-7.3432226,407.9903,16.414745,.75481826
38,120000,天津市,2019,5.3339467,9.6259022,11.674652,6982,120000,Tianjin (city),9.5206776,5.2561121,11.591655,9.5346375,3,1,18,2,1,14,1.0824718,1.3053989,1.0859678,8.9073896,10210992,13501041,.090000004,38.02,61.889999,-.1,99.910004,.11,191.73459,13638.85,.98613691,-19.17346,1500.2734,16.418278,.75631148
39,120000,天津市,2020,5.379468,9.6845808,11.729204,7353,120000,Tianjin (city),9.5087242,5.3297291,11.608039,9.523922,3,1,18,2,1,14,1.0810218,1.3004949,1.0852402,8.8997421,9770482,13545162,,,,,,,206.38205,13476.79,.9849171,,,16.421539,.72132635
40,130100,石家庄市,2001,5.1701689,6.9618783,9.4228287,77,130000,Hebei (province),6.8977008,5.1411052,9.3622913,7.056951,7,3,,3,2,,1.0332617,1.2657958,1.3583633,9.3406715,3275294.8,9088478,.61000001,43.209999,56.18,.0099999998,99.389999,-.0099999998,170.90454,989.99591,.85278279,1.7090454,-9.8999586,16.022518,.3603788
41,130100,石家庄市,2002,5.2440639,7.0796828,9.529851,448,130000,Hebei (province),7.0092421,5.2079158,9.4689293,7.1620317,7,3,,3,2,,1.0320407,1.2578119,1.3517606,9.3418131,3253912.5,9128498,.66000003,42.52,56.830002,.050000001,99.349998,-.039999999,182.71284,1106.8153,.85831028,9.1356421,-44.27261,16.026911,.35645652
42,130100,石家庄市,2003,5.3178864,7.1973267,9.6367216,819,130000,Hebei (province),7.089169,5.2720809,9.5176239,7.2397404,7,3,,3,2,,1.0308478,1.2501969,1.3454062,9.3391342,3740473.8,9357623,.60000002,42.830002,56.57,-.059999999,99.400002,.050000001,194.82094,1198.9111,.86021638,-11.689256,59.945557,16.051702,.39972478
43,130100,石家庄市,2004,5.3914733,7.3144736,9.7431374,1190,130000,Hebei (province),7.2301006,5.4120536,9.6750736,7.380538,7,3,,3,2,,1.0296845,1.2429492,1.3392904,9.3364239,4079640.3,9434511,.55000001,42.060001,57.389999,-.050000001,99.449997,.050000001,224.09131,1380.3615,.86033165,-11.204566,69.018074,16.059885,.43241671
44,130100,石家庄市,2005,5.4645472,7.4305172,9.8484964,1561,130000,Hebei (province),7.4274693,5.4432502,9.8531361,7.5562916,7,3,,3,2,,1.0285441,1.2360591,1.3334125,9.334794,4117516.8,9488779,.56,40.919998,58.52,.0099999998,99.440002,-.0099999998,231.19238,1681.5466,.87913018,2.3119237,-16.815466,16.06562,.43393537
45,130100,石家庄市,2006,5.5368814,7.5446382,9.9520273,1932,130000,Hebei (province),7.5647917,5.4948735,9.9718351,7.6836371,7,3,,3,2,,1.0274143,1.2295058,1.327785,9.3343382,4264251.5,9543557,.52999997,40.369999,59.099998,-.029999999,99.470001,.029999999,243.44073,1929.0669,.88794482,-7.3032217,57.872005,16.071377,.44681993
46,130100,石家庄市,2007,5.6081972,7.6560125,10.052971,2303,130000,Hebei (province),7.6922841,5.5705943,10.088313,7.80546,7,3,,3,2,,1.026293,1.223284,1.32242,9.3319731,4318522,9600792,.51999998,40.060001,59.419998,-.0099999998,99.480003,.0099999998,262.59012,2191.3743,.89299351,-2.6259012,21.913742,16.077356,.44980893
47,130100,石家庄市,2008,5.6781096,7.763864,10.150616,2674,130000,Hebei (province),7.822659,5.6890407,10.208714,7.9345655,7,3,,3,2,,1.0251821,1.2173933,1.3173307,9.331461,4367524,9659807,.55000001,38.650002,60.799999,.029999999,99.449997,-.029999999,295.60989,2496.5349,.89412802,8.8682966,-74.896049,16.083485,.45213369
48,130100,石家庄市,2009,5.746141,7.8675089,10.24434,3045,130000,Hebei (province),7.8909836,5.7467265,10.269568,8.0017691,7,3,,3,2,,1.0240885,1.2118382,1.3125201,9.3296566,4398908,9722043,.50999999,37.080002,62.41,-.039999999,99.489998,.039999999,313.16385,2673.0718,.89513087,-12.526554,106.92287,16.089907,.45246744
49,130100,石家庄市,2010,5.8118401,7.9664092,10.333668,3416,130000,Hebei (province),8.0795975,5.8429508,10.438799,8.1810846,7,3,,3,2,,1.0230253,1.2066324,1.3080002,9.3264761,4435575.5,9660243,.49000001,36.970001,62.540001,-.02,99.510002,.02,344.79526,3227.9336,.90349245,-6.895905,64.55867,16.083529,.45915776
50,130100,石家庄市,2011,5.8747568,8.0600872,10.418184,3787,130000,Hebei (province),8.1969128,5.9622655,10.54505,8.2985935,7,3,,3,2,,1.0219996,1.2017798,1.3037807,9.3253832,4432498.5,9709944,.47999999,35.970001,63.549999,-.0099999998,99.519997,.0099999998,388.48926,3629.7273,.90331799,-3.8848925,36.297272,16.088661,.45649064
51,130100,石家庄市,2012,5.9345198,8.1483459,10.497739,4158,130000,Hebei (province),8.3002491,6.0508966,10.640972,8.4005175,7,3,,3,2,,1.0210223,1.1972828,1.29986,9.3228951,4950902,10240243,.28999999,37.450001,62.259998,-.19,99.709999,.19,424.49347,4024.8748,.90459466,-80.653755,764.7262,16.141836,.48347506
52,130100,石家庄市,2013,5.9909763,8.2313318,10.572497,4529,130000,Hebei (province),8.2915478,6.0943704,10.619871,8.3969126,7,3,,3,2,,1.0201035,1.1931345,1.29623,9.3184109,5034059,10289202,.22,36.540001,63.240002,-.07,99.779999,.07,443.3548,3990.0051,.89999574,-31.034836,279.30035,16.146606,.4892565
53,130100,石家庄市,2014,6.0442634,8.3095713,10.642984,4900,130000,Hebei (province),8.3734236,6.0952687,10.70693,8.4709797,7,3,,3,2,,1.0192553,1.189324,1.2928694,9.3107719,5112426.5,10335539,.2,35.970001,63.830002,-.02,99.800003,.02,443.75327,4330.4365,.90705162,-8.8750648,86.608727,16.151098,.49464536
54,130100,石家庄市,2015,6.0947785,8.3837414,10.709844,5271,130000,Hebei (province),8.3885727,6.1386094,10.709053,8.4887829,7,3,,3,2,,1.0184762,1.1858156,1.2897441,9.301507,5188008.5,10425365,.2,35.009998,64.790001,0,99.800003,1.4210855e-14,463.40872,4396.5381,.90464735,0,6.2478564e-11,16.159752,.49763328
55,130100,石家庄市,2016,6.1430449,8.4546776,10.773876,5642,130000,Hebei (province),8.417037,6.1699619,10.732557,8.5175228,7,3,,3,2,,1.0177612,1.1825656,1.2868099,9.2931232,5240988.5,10471532,.2,33.650002,66.150002,0,99.800003,0,478.16791,4523.4805,.90439796,0,0,16.164171,.50049871
56,130100,石家庄市,2017,6.1896963,8.5232277,10.835884,6013,130000,Hebei (province),8.4908266,6.1125941,10.792141,8.5794916,7,3,,3,2,,1.0171005,1.1795257,1.2840214,9.2716951,5205811,10524471,.2,30.549999,69.25,0,99.800003,-1.4210855e-14,451.50845,4869.8901,.91515231,0,-6.9205301e-11,16.169214,.49463874
57,130100,石家庄市,2018,6.2354331,8.590147,10.896564,6384,130000,Hebei (province),8.546772,6.1584239,10.840136,8.6345825,7,3,,3,2,,1.0164798,1.1766467,1.2813402,9.2645512,5240949.5,10565567,.18000001,28.67,71.150002,-.02,99.82,.02,472.6825,5150.103,.91593444,-9.4536495,103.00206,16.173111,.49604052
58,130100,石家庄市,2019,6.2807636,8.6561089,10.956503,6755,130000,Hebei (province),8.5875235,6.1908598,10.894979,8.6746378,7,3,,3,2,,1.0158852,1.1738822,1.2787355,9.2641335,5286229.5,10603184,.1,26.209999,73.690002,-.079999998,99.900002,.079999998,488.26575,5364.3125,.91657251,-39.06126,429.14499,16.176664,.49855113
59,130100,石家庄市,2020,6.3260036,8.7216768,11.01615,7126,130000,Hebei (province),8.5643625,6.2897043,10.898908,8.6622438,7,3,,3,2,,1.0153031,1.1711913,1.2761919,9.2618027,5360834.5,10643284,,,,,,,538.99396,5241.4976,.9067564,,,16.180439,.50368237
60,130200,唐山市,2001,5.2764997,7.054647,9.7627831,78,130000,Hebei (province),6.9868908,5.2494249,9.6995659,7.1489806,4,3,,2,2,,1.0705394,1.2826629,1.3862996,9.319622,2935558.5,7529297,5.0999999,52.43,42.459999,-.60000002,94.889999,.58999997,190.45671,1082.351,.85036486,-114.27403,638.58704,15.834312,.3898848
61,130200,唐山市,2002,5.3505063,7.1810088,9.8792906,449,130000,Hebei (province),7.0712914,5.3135877,9.7764893,7.2303786,4,3,,2,2,,1.0698835,1.2758139,1.3791983,9.3182659,2888205.3,7561590,5.5300002,50.990002,43.48,.43000001,94.470001,-.41999999,203.0775,1177.668,.85292184,87.323326,-494.62054,15.838592,.38195741
62,130200,唐山市,2003,5.4244452,7.3072014,9.9956398,820,130000,Hebei (province),7.1916494,5.3679709,9.869381,7.3413024,4,3,,2,2,,1.0692415,1.2692826,1.3723651,9.3153095,2903929.3,7395895,5.1999998,51.25,43.549999,-.33000001,94.800003,.33000001,214.42734,1328.2924,.86100692,-70.761024,438.33649,15.816436,.39264068
63,130200,唐山市,2004,5.4981561,7.4327812,10.111416,1191,130000,Hebei (province),7.345799,5.515296,10.04138,7.4945059,4,3,,2,2,,1.0686053,1.2630532,1.3657913,9.3113956,3024905,7468796.5,4.8000002,50.689999,44.52,-.40000001,95.209999,.41,248.4635,1549.6726,.86182165,-99.385399,635.36578,15.826244,.40500569
64,130200,唐山市,2005,5.5713387,7.5570154,10.225889,1562,130000,Hebei (province),7.5185456,5.5581641,10.192419,7.6502795,4,3,,2,2,,1.0679576,1.2571019,1.3594708,9.3066912,3067619.5,7511722.5,4.9699998,51.18,43.849998,.17,95.029999,-.18000001,259.34628,1841.8866,.87657422,44.088867,-331.53961,15.831975,.40837765
65,130200,唐山市,2006,5.643734,7.6789536,10.338152,1933,130000,Hebei (province),7.7108817,5.6073523,10.371622,7.8260169,4,3,,2,2,,1.0672765,1.2513944,1.3534091,9.3026819,3199553.3,7556778.5,4.8000002,51.060001,44.130001,-.17,95.190002,.16,272.42197,2232.5098,.89124572,-46.311733,357.20157,15.837955,.42340174
66,130200,唐山市,2007,5.7150507,7.7975502,10.447216,2304,130000,Hebei (province),7.843461,5.6878104,10.493742,7.9530578,4,3,,2,2,,1.066541,1.2458991,1.3476161,9.2976418,3286255,7602282.5,4.6700001,51.23,44.110001,-.13,95.339996,.15000001,295.24646,2549.0117,.89619559,-38.382038,382.35178,15.843959,.43227214
67,130200,唐山市,2008,5.7849069,7.9118385,10.552176,2675,130000,Hebei (province),7.939539,5.7884645,10.576356,8.0496111,4,3,,2,2,,1.0657384,1.2405961,1.3421078,9.2946768,3324890.5,7649703.5,4.4200001,50.759998,44.82,-.25,95.580002,.23999999,326.51129,2806.0664,.89576912,-81.627823,673.45593,15.850178,.43464306
68,130200,唐山市,2009,5.8528519,8.0209665,10.652241,3046,130000,Hebei (province),8.1263218,5.8592386,10.767422,8.2249117,4,3,,2,2,,1.0648648,1.2354754,1.3368948,9.2913628,3362811,7698969.5,4.0599999,52.240002,43.700001,-.36000001,95.940002,.36000001,350.45721,3382.3357,.90611392,-126.1646,1217.6409,15.856597,.43678716
69,130200,唐山市,2010,5.9184446,8.1241531,10.746682,3417,130000,Hebei (province),8.2545214,5.9551353,10.870378,8.3501225,4,3,,2,2,,1.0639133,1.230525,1.3319924,9.2897453,3387214.8,7648935.5,3.6099999,51.330002,45.060001,-.44999999,96.389999,.44999999,385.72913,3844.9712,.90882617,-173.57809,1730.2369,15.850077,.44283479
70,130200,唐山市,2011,5.9812598,8.2208786,10.83506,3788,130000,Hebei (province),8.3652525,6.0580621,10.969573,8.460145,4,3,,2,2,,1.0628941,1.2257543,1.3274168,9.2863903,3382066.5,7665846,3.25,52.23,44.509998,-.36000001,96.739998,.34999999,427.54608,4295.1963,.9094708,-153.9166,1503.3187,15.852285,.44118634
71,130200,唐山市,2012,6.0409636,8.3109493,10.917241,4159,130000,Hebei (province),8.4671803,6.1579571,11.063869,8.5618887,4,3,,2,2,,1.0618236,1.221175,1.3231748,9.2821054,3328591.5,7742400.5,2.78,53.84,43.380001,-.47,97.220001,.47999999,472.46188,4756.0854,.90963805,-222.05708,2282.9209,15.862223,.42991725
72,130200,唐山市,2013,6.0974135,8.3945341,10.99343,4530,130000,Hebei (province),8.4910994,6.1958137,11.079062,8.5870752,4,3,,2,2,,1.0607178,1.2167908,1.3192592,9.277935,3418514,7774494,2.6300001,51.540001,45.830002,-.15000001,97.370003,.15000001,490.69052,4871.2183,.90848583,-73.603584,730.68274,15.866359,.43970889
73,130200,唐山市,2014,6.1507616,8.4721909,11.064199,4901,130000,Hebei (province),8.5454121,6.1983776,11.13572,8.6367617,4,3,,2,2,,1.0595942,1.2125993,1.3156494,9.2722797,3480772.8,7809729.5,2.28,50.040001,47.68,-.34999999,97.720001,.34999999,491.95026,5143.104,.91269821,-172.18259,1800.0864,15.870881,.44569698
74,130200,唐山市,2015,6.2014036,8.5447197,11.130333,5272,130000,Hebei (province),8.5646601,6.2421622,11.142315,8.6581764,4,3,,2,2,,1.0584636,1.2085847,1.3123076,9.2669325,3511202.8,7876387.5,2.2,48.07,49.73,-.079999998,97.800003,.079999998,513.96863,5243.0571,.91072321,-41.117489,419.44455,15.87938,.44578847
75,130200,唐山市,2016,6.249856,8.6131039,11.192795,5643,130000,Hebei (province),8.594492,6.2649889,11.167377,8.6873846,4,3,,2,2,,1.0573347,1.2047248,1.3091841,9.264822,3532996.3,7911242.5,2.01,46.040001,51.950001,-.19,97.989998,.19,525.83575,5401.8242,.91129118,-99.908791,1026.3466,15.883796,.44657919
