v1,region_id,year,city_id,city,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v11,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted,lg101214,urban_population,total_population,nonagri_gdp,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,wtrend_lg_agri_predicted,wtrend_lg_nonagri_predicted,wtrend_lg_gdppc_predicted,wv1,wlg_nonagri_predicted,wlg_agri_predicted,wlg_gdppc_predicted,wlg_totalgdp_predicted,wlg101214,wurban_population,wtotal_population,wnonagri_gdp,wemp_agri,wemp_ind,wemp_ser,wemp_agri_gr,wemp_nonagri,wemp_nonagri_gr
10,0,2011,110000,北京市,4.7674356,9.6288528,11.325521,4012,110000,Beijing,9.7998686,4.8496084,11.490576,9.8069248,2,1,23,1,1,17,1.1110072,1.4356868,1.0580336,8.9492359,12136546,14583986,.99296862,.34,24.209999,75.449997,-.16,99.660004,.16,4.5406361,7.6101732,10.659369,3824.625,7.7553725,4.6196861,10.794657,7.8370767,7.9537048,2379412.8,5515742.5,.92304564,.87875003,50.953751,48.1675,-.18000001,99.121246,.18125001
11,0,2012,110000,北京市,4.8282328,9.7075949,11.394634,4383,110000,Beijing,9.9003162,4.944128,11.583091,9.9073315,2,1,23,1,1,17,1.1082554,1.4263921,1.0575458,8.9185343,16533811,19758804,.99300933,.31,22.68,77.010002,-.029999999,99.690002,.029999999,4.6007333,7.7005343,10.741834,4195.625,7.8414698,4.7155609,10.87164,7.9239035,7.9644041,2813704,5988177.5,.92238635,.77249998,52.91,46.317501,-.10625,99.227501,.10625
12,0,2013,110000,北京市,4.8856668,9.7803831,11.458195,4754,110000,Beijing,9.8152924,4.9917622,11.477465,9.8232985,2,1,23,1,1,17,1.1055613,1.4176701,1.0570811,8.8800917,16795728,19853414,.99202585,.41999999,21.940001,77.639999,.11,99.580002,-.11,4.6575618,7.7854142,10.819432,4566.625,7.8620491,4.7611842,10.88262,7.9453611,7.9663796,2849745.8,6009601.5,.9216035,.72624999,53.607498,45.666248,-.046250001,99.27375,.046250001
13,0,2014,110000,北京市,4.9398799,9.8479748,11.516986,5125,110000,Beijing,9.871994,4.984848,11.536798,9.879509,2,1,23,1,1,17,1.1029565,1.4095111,1.0566415,8.842063,16917878,19943294,.99251324,.43000001,21.16,78.410004,.0099999998,99.57,-.0099999998,4.7112508,7.8653002,10.892658,4937.625,7.9281058,4.7665157,10.952199,8.0069494,7.9784918,2880723.5,6036070,.92557251,.65750003,51.748749,47.59375,-.068750001,99.342499,.068750001
14,0,2015,110000,北京市,4.9912801,9.9112167,11.57184,5496,110000,Beijing,9.9071741,5.0353055,11.561064,9.9148035,2,1,23,1,1,17,1.1004498,1.4018651,1.0562278,8.794096,17076888,20116886,.99239963,.5,19.43,80.07,.07,99.5,-.07,4.7621899,7.9408717,10.962167,5308.625,7.9581895,4.8025489,10.970814,8.0374355,7.979465,2911288.3,6088462.5,.92521107,.59625,50.407501,48.99625,-.061250001,99.403748,.061250001
15,0,2016,110000,北京市,5.0403876,9.9710169,11.623637,5867,110000,Beijing,9.9485674,5.0632181,11.599051,9.9560957,2,1,23,1,1,17,1.0980345,1.3946576,1.0558316,8.7653208,17166484,20205976,.99249995,.47,18.5,81.029999,-.029999999,99.529999,.029999999,4.8109069,8.0129662,11.028759,5679.625,7.9862561,4.829813,10.993791,8.0649471,7.9834685,2931320,6115423,.92569917,.5675,48.821251,50.61375,-.028750001,99.434998,.03125
16,0,2017,110000,北京市,5.087832,10.028271,11.673232,6238,110000,Beijing,9.9861507,5.0230174,11.618679,9.9931173,2,1,23,1,1,17,1.0956974,1.387808,1.0554451,8.6994495,17242334,20291018,.99305761,.41999999,17.49,82.089996,-.050000001,99.580002,.050000001,4.8580298,8.0824614,11.093258,6050.625,8.0570974,4.7891331,11.050087,8.1272039,7.975637,2935694.3,6131423.5,.93337315,.59875,44.98875,54.411251,.03125,99.400002,-.035
17,0,2018,110000,北京市,5.1343012,10.083819,11.721417,6609,110000,Beijing,10.026331,5.0538492,11.649254,10.033233,2,1,23,1,1,17,1.0934259,1.3812444,1.0550649,8.6811581,17209256,20369372,.99312204,.33000001,16.549999,83.129997,-.090000004,99.68,.1,4.9042349,8.1501722,11.156401,6421.625,8.1045284,4.8232083,11.088654,8.1736765,7.9768057,2949190.5,6155538,.93423092,.38874999,44.196251,55.4175,-.20999999,99.613747,.21375
18,0,2019,110000,北京市,5.1803198,10.138396,11.768849,6980,110000,Beijing,10.053488,5.1012173,11.689371,10.060531,2,1,23,1,1,17,1.0912058,1.3748999,1.05469,8.644454,17299328,20441914,.99298185,.050000001,15.57,84.379997,-.28,99.949997,.27000001,4.9500241,8.2168474,11.218815,6792.625,8.1227674,4.8753514,11.143161,8.1939583,7.9734588,2970407.3,6177485.5,.93236333,.28749999,41.26125,58.44875,-.10125,99.709999,.096249998
19,0,2020,110000,北京市,5.226212,10.192595,11.816004,7351,110000,Beijing,10.040947,5.1756916,11.7051,10.048627,2,1,23,1,1,17,1.0890217,1.3687137,1.0543228,8.6340504,17082172,20511508,.99234951,,,,,,,4.9956999,8.2831221,11.280958,7163.625,8.1230316,4.9500446,11.173079,8.1997604,7.9844832,2912635.8,6197066.5,.92740285,,,,,,
20,1,2001,120000,天津市,4.2130761,7.9716377,10.16654,304,120000,Tianjin (city),7.9413891,4.1842375,10.144526,7.9644709,3,1,18,2,1,14,1.1148134,1.4493884,1.1069053,8.9870844,6838726,9817051,.97718257,.56999999,51.900002,47.529999,-.029999999,99.43,-.07,4.582828,5.9881444,9.1239567,83.166664,5.9187479,4.5539937,9.0635529,6.1513038,9.3680601,1633068.8,6356302,.7935496,,,,,,
21,1,2002,120000,天津市,4.28795,8.0903473,10.274813,675,120000,Tianjin (city),7.9960675,4.2463427,10.189555,8.0193195,3,1,18,2,1,14,1.1127167,1.4373716,1.1053035,8.9876118,6867951,9867843,.97701621,.58999997,49.959999,49.450001,.02,99.410004,-.02,4.6568465,6.1091628,9.2337141,454.16666,6.0227671,4.6224289,9.155508,6.2478824,9.369421,1623094.8,6386976.5,.7993747,1.7066667,36.139999,62.154999,.16333333,98.294998,16.504999
22,1,2003,120000,天津市,4.3627515,8.2089815,10.38303,1046,120000,Tianjin (city),8.0833492,4.3046942,10.245925,8.1059456,3,1,18,2,1,14,1.1106809,1.4259244,1.1037605,8.9824762,7034297.5,10131957,.97765702,.50999999,51.099998,48.400002,-.079999998,99.5,.090000004,4.7307925,6.2300072,9.3433208,825.16669,6.1316209,4.6836767,9.2328405,6.3461976,9.3736687,1791392.3,6316290.5,.80750173,1.1849999,36.081665,62.731667,-.52166665,98.813332,.51833332
23,1,2004,120000,天津市,4.437305,8.3272295,10.490924,1417,120000,Tianjin (city),8.1827364,4.4601126,10.357896,8.2066193,3,1,18,2,1,14,1.1087129,1.4150469,1.1022663,8.9724932,7226838.5,10217426,.97640008,.44999999,49.93,49.619999,-.059999999,99.550003,.050000001,4.8045087,6.3502889,9.4524298,1196.1666,6.2902102,4.819097,9.4061871,6.4999294,9.3784304,1920547.6,6373544,.81133866,1.1966667,35.443333,63.363335,.011666667,98.806664,-.0066666668
24,1,2005,120000,天津市,4.5112891,8.4444647,10.597884,1788,120000,Tianjin (city),8.4035912,4.4991126,10.562346,8.423542,3,1,18,2,1,14,1.1068076,1.4047283,1.1008066,8.9698086,7277574,10276223,.98024684,.41999999,50.23,49.349998,-.029999999,99.580002,.029999999,4.8777184,6.4693718,9.5604181,1567.1666,6.4506435,4.8603468,9.5450277,6.6393552,9.3796339,1937914.5,6410201.5,.82852733,.95833331,37.418335,61.623333,-.23833333,99.041664,.235
25,1,2006,120000,天津市,4.5844393,8.5597,10.702967,2159,120000,Tianjin (city),8.6038904,4.5507498,10.750988,8.621109,3,1,18,2,1,14,1.1049387,1.3949245,1.0993824,8.9683771,7472319.5,10331546,.98292881,.37,50.450001,49.18,-.050000001,99.629997,.050000001,4.9501829,6.5864711,9.6665478,1938.1666,6.6190572,4.9110627,9.6972313,6.7886963,9.3799591,2032169.8,6447945.5,.84441835,.89499998,37.753334,61.349998,-.063333333,99.103333,.061666667
26,1,2007,120000,天津市,4.6564612,8.6718483,10.805139,2530,120000,Tianjin (city),8.7260752,4.6270657,10.861675,8.742528,3,1,18,2,1,14,1.1030807,1.3855951,1.0979995,8.9678917,7576196,10392458,.9836818,.37,49.599998,50.029999,0,99.629997,0,5.0216188,6.7007537,9.7700434,2309.1667,6.7385683,4.9892235,9.8053331,6.9020886,9.3759203,2079944.9,6486834.5,.84961194,.84666669,37.768333,61.383335,-.048333332,99.151665,.048333332
27,1,2008,120000,天津市,4.7269754,8.7799311,10.903489,2901,120000,Tianjin (city),8.8485718,4.7285738,10.973278,8.864686,3,1,18,2,1,14,1.1012201,1.3767151,1.096666,8.9646988,7635721.5,10456699,.98401493,.34999999,46.919998,52.720001,-.02,99.639999,.0099999998,5.0916457,6.8114686,9.8702021,2680.1667,6.844368,5.093987,9.9012175,7.0080752,9.3714409,2104940.3,6527104,.84950233,.82499999,37.59,61.583332,-.021666666,99.173332,.021666666
28,1,2009,120000,天津市,4.7955303,8.8831043,10.997246,3272,120000,Tianjin (city),8.95821,4.8030162,11.079159,8.9737711,3,1,18,2,1,14,1.0993537,1.3682712,1.0953839,8.9660358,7690368,10524047,.98455936,.37,47.700001,51.939999,.02,99.639999,0,5.1598015,6.9179597,9.9664145,3051.1667,6.9606237,5.1595931,10.019684,7.117847,9.3659029,2121092.8,6569188,.85519761,.69166666,37.066666,62.238335,-.13333334,99.305,.13166666
29,1,2010,120000,天津市,4.8616772,8.9806976,11.085813,3643,120000,Tianjin (city),9.090353,4.8980765,11.186397,9.1053514,3,1,18,2,1,14,1.097487,1.3602616,1.0941585,8.9610853,7683150.5,10457248,.9851135,.34999999,47.529999,52.130001,-.02,99.660004,.02,5.2256308,7.0196524,10.058144,3422.1667,7.1331234,5.2625647,10.16392,7.2795944,9.3595791,2143921.5,6527025,.86417753,.67666668,37.086666,62.236668,-.015,99.323334,.018333333
30,1,2011,120000,天津市,4.9249864,9.0722265,11.168798,4014,120000,Tianjin (city),9.2257996,5.0055847,11.313367,9.2403879,3,1,18,2,1,14,1.0956331,1.3526924,1.0929987,8.954566,7728038,10530766,.98551756,.22,58.84,40.93,-.13,99.769997,.11,5.2886772,7.1160798,10.144992,3793.1667,7.2518039,5.3712902,10.271964,7.3973823,9.3554945,2134944.8,6557950,.86502606,.50333333,39.848331,59.648335,-.17333333,99.496666,.17333333
31,1,2012,120000,天津市,4.9851189,9.1574841,11.246061,4385,120000,Tianjin (city),9.3223915,5.1021624,11.401595,9.3369799,3,1,18,2,1,14,1.093805,1.3455611,1.0919092,8.9471169,9764152,12958111,.98551756,.19,56.259998,43.549999,-.029999999,99.809998,.039999999,5.3485765,7.2070575,10.226819,4164.1665,7.3401589,5.462997,10.353563,7.4863729,9.3498182,2257310.8,6509877,.86450613,.43666667,42.056667,57.506668,-.06666667,99.563332,.06666667
32,1,2013,120000,天津市,5.0419378,9.2366428,11.317825,4756,120000,Tianjin (city),9.3115873,5.1419888,11.378592,9.3269272,3,1,18,2,1,14,1.0920175,1.3388548,1.0908924,8.9384317,9967510,13024074,.98477721,.18000001,54.709999,45.110001,-.0099999998,99.82,.0099999998,5.4051719,7.2927403,10.303807,4535.1665,7.3656845,5.5110421,10.362905,7.5132341,9.3430538,2308050.5,6540490.5,.86309052,.43166667,40.366665,59.201668,-.0049999999,99.568336,.0049999999
33,1,2014,120000,天津市,5.0955982,9.3102903,11.384697,5127,120000,Tianjin (city),9.3681698,5.1372728,11.437797,9.3826046,3,1,18,2,1,14,1.0902874,1.332554,1.0899497,8.9324245,10017739,13083202,.9856689,.17,55.279999,44.549999,-.0099999998,99.830002,.0099999998,5.458591,7.3736176,10.376455,4906.1665,7.4302611,5.5128813,10.430616,7.5694742,9.3335438,2338607.8,6570037.5,.87028682,.42333335,39.099998,60.476665,-.0083333338,99.576668,.0083333338
34,1,2015,120000,天津市,5.1465063,9.3792009,11.447441,5498,120000,Tianjin (city),9.3931065,5.1899185,11.450659,9.4079437,3,1,18,2,1,14,1.0886197,1.3266156,1.0890759,8.9291115,10074404,13197034,.98527229,.18000001,51.34,48.48,.0099999998,99.82,-.0099999998,5.5092278,7.4503593,10.445407,5277.1665,7.4549999,5.5515628,10.44334,7.5958652,9.3262882,2371191.3,6627322,.8688364,.37666667,38.321667,61.301666,-.046666667,99.623337,.046666667
35,1,2016,120000,天津市,5.1951714,9.444293,11.506951,5869,120000,Tianjin (city),9.4214439,5.217205,11.474117,9.4362659,3,1,18,2,1,14,1.0870117,1.3209841,1.0882548,8.924572,10133308,13255474,.98528731,.30000001,47.669998,52.040001,.12,99.709999,-.11,5.5576105,7.523778,10.511442,5648.1665,7.4986959,5.5779719,10.482991,7.6371169,9.3234329,2398793.5,6656685,.87093431,.35666665,37.001667,62.643333,-.02,99.644997,.021666666
36,1,2017,120000,天津市,5.2422118,9.5065222,11.56413,6240,120000,Tianjin (city),9.477932,5.1760926,11.514801,9.4913845,3,1,18,2,1,14,1.0854566,1.3156034,1.0874704,8.9233427,10214364,13401006,.98663753,.23,43.43,56.34,-.07,99.769997,.059999999,5.6043749,7.5946965,10.575339,6019.1665,7.5759406,5.535121,10.545582,7.699719,9.3177061,2347437.5,6679181.5,.88374931,.28333333,31.188334,68.529999,-.07333333,99.71833,.07333333
37,1,2018,120000,天津市,5.288301,9.566783,11.619798,6611,120000,Tianjin (city),9.5178013,5.2126536,11.545036,9.5312099,3,1,18,2,1,14,1.0839463,1.3104227,1.0867108,8.9187851,10154902,13453440,.98668081,.19,38.91,60.889999,-.039999999,99.800003,.029999999,5.6502061,7.663877,10.6378,6390.1665,7.625277,5.5684881,10.586028,7.7471213,9.3104639,2352768.8,6705434.5,.8854453,.29666665,30.383333,69.318336,.013333334,99.701668,-.016666668
38,1,2019,120000,天津市,5.3339467,9.6259022,11.674652,6982,120000,Tianjin (city),9.5206776,5.2561121,11.591655,9.5346375,3,1,18,2,1,14,1.0824718,1.3053989,1.0859678,8.9073896,10210992,13501041,.98613709,.090000004,38.02,61.889999,-.1,99.910004,.11,5.6956167,7.7320333,10.699456,6761.1665,7.6476488,5.6171551,10.621097,7.7727532,9.3032656,2370470.3,6729299,.88259143,.29166666,28.086666,71.618332,-.0049999999,99.705002,.0033333334
39,1,2020,120000,天津市,5.379468,9.6845808,11.729204,7353,120000,Tianjin (city),9.5087242,5.3297291,11.608039,9.523922,3,1,18,2,1,14,1.0810218,1.3004949,1.0852402,8.8997421,9770482,13545162,.98491716,,,,,,,5.7409153,7.7997823,10.760807,7132.1665,7.6371021,5.6960573,10.638927,7.7729497,9.2963743,2418930.5,6751296.5,.87317532,,,,,,
40,2,2001,130100,石家庄市,5.1701689,6.9618783,9.4228287,77,130000,Hebei (province),6.8977008,5.1411052,9.3622913,7.056951,7,3,,3,2,,1.0332617,1.2657958,1.3583633,9.3406715,3275294.8,9088478,.85278291,.61000001,43.209999,56.18,.0099999998,99.389999,-.0099999998,4.2581286,6.068727,9.0958691,141.16667,5.9844699,4.2317653,9.0306225,6.1889811,8.5663271,2448755.3,6714721,.8200292,2.27,43.646667,54.084999,-8.6633329,97.731667,8.6483335
41,2,2002,130100,石家庄市,5.2440639,7.0796828,9.529851,448,130000,Hebei (province),7.0092421,5.2079158,9.4689293,7.1620317,7,3,,3,2,,1.0320407,1.2578119,1.3517606,9.3418131,3253912.5,9128498,.85831028,.66000003,42.52,56.830002,.050000001,99.349998,-.039999999,4.3320417,6.1922884,9.2070589,512.16669,6.1117907,4.2957382,9.133503,6.3034458,8.5789165,2446819.5,6749086.5,.82995737,2.135,43.305,54.560001,-.13500001,97.864998,.13333334
42,2,2003,130100,石家庄市,5.3178864,7.1973267,9.6367216,819,130000,Hebei (province),7.089169,5.2720809,9.5176239,7.2397404,7,3,,3,2,,1.0308478,1.2501969,1.3454062,9.3391342,3740473.8,9357623,.86021638,.60000002,42.830002,56.57,-.059999999,99.400002,.050000001,4.405889,6.3156395,9.3180866,883.16669,6.2151446,4.3598542,9.2005243,6.3992548,8.5855808,2552692,6745394,.83555448,2.3633332,43.046665,54.588333,.22833334,97.635002,-.23
43,2,2004,130100,石家庄市,5.3914733,7.3144736,9.7431374,1190,130000,Hebei (province),7.2301006,5.4120536,9.6750736,7.380538,7,3,,3,2,,1.0296845,1.2429492,1.3392904,9.3364239,4079640.3,9434511,.86033159,.55000001,42.060001,57.389999,-.050000001,99.449997,.050000001,4.4795136,6.4383678,9.4286032,1254.1666,6.3934321,4.4882259,9.3917332,6.5675836,8.5818272,2685004.3,6808605,.8435756,2.2966666,42.080002,55.621666,-.06666667,97.701668,.06666667
44,2,2005,130100,石家庄市,5.4645472,7.4305172,9.8484964,1561,130000,Hebei (province),7.4274693,5.4432502,9.8531361,7.5562916,7,3,,3,2,,1.0285441,1.2360591,1.3334125,9.334794,4117516.8,9488779,.87913013,.56,40.919998,58.52,.0099999998,99.440002,-.0099999998,4.5526443,6.5598106,9.5379686,1625.1666,6.5339217,4.5389142,9.5161276,6.6977353,8.58358,2706705.8,6847771.5,.85230172,2.2633333,41.093334,56.643333,-.033333335,97.736664,.035
45,2,2006,130100,石家庄市,5.5368814,7.5446382,9.9520273,1932,130000,Hebei (province),7.5647917,5.4948735,9.9718351,7.6836371,7,3,,3,2,,1.0274143,1.2295058,1.327785,9.3343382,4264251.5,9543557,.887945,.52999997,40.369999,59.099998,-.029999999,99.470001,.029999999,4.62503,6.6791921,9.6454506,1996.1666,6.6848001,4.5892992,9.651309,6.8349366,8.5789299,2818275,6888095,.86350352,2.1949999,41.623333,56.181667,-.068333335,97.805,.068333335
46,2,2007,130100,石家庄市,5.6081972,7.6560125,10.052971,2303,130000,Hebei (province),7.6922841,5.5705943,10.088313,7.80546,7,3,,3,2,,1.026293,1.223284,1.32242,9.3319731,4318522,9600792,.89299357,.51999998,40.060001,59.419998,-.0099999998,99.480003,.0099999998,4.6963878,6.7956719,9.7502613,2367.1667,6.8550367,4.6675134,9.8057852,6.9924889,8.5724688,2873840.3,6929359.5,.87400872,2.1533334,40.978333,56.866665,-.041666668,97.845001,.039999999
47,2,2008,130100,石家庄市,5.6781096,7.763864,10.150616,2674,130000,Hebei (province),7.822659,5.6890407,10.208714,7.9345655,7,3,,3,2,,1.0251821,1.2173933,1.3173307,9.331461,4367524,9659807,.89412785,.55000001,38.650002,60.799999,.029999999,99.449997,-.029999999,4.7663431,6.9084253,9.8516264,2738.1667,6.9752049,4.766223,9.9144955,7.109055,8.5662727,2904179,6972377,.87688935,1.9316666,39.526669,58.540001,-.22166666,98.066666,.22166666
48,2,2009,130100,石家庄市,5.746141,7.8675089,10.24434,3045,130000,Hebei (province),7.8909836,5.7467265,10.269568,8.0017691,7,3,,3,2,,1.0240885,1.2118382,1.3125201,9.3296566,4398908,9722043,.89513075,.50999999,37.080002,62.41,-.039999999,99.489998,.039999999,4.8344502,7.0167727,9.9489126,3109.1667,7.0222335,4.8332539,9.9715595,7.1592159,8.5662012,2927160,7017264,.87442189,1.8666667,38.451668,59.681667,-.064999998,98.133331,.06666667
49,2,2010,130100,石家庄市,5.8118401,7.9664092,10.333668,3416,130000,Hebei (province),8.0795975,5.8429508,10.438799,8.1810846,7,3,,3,2,,1.0230253,1.2066324,1.3080002,9.3264761,4435575.5,9660243,.90349281,.49000001,36.970001,62.540001,-.02,99.510002,.02,4.9002633,7.1202044,10.041642,3480.1667,7.2314167,4.9355907,10.144829,7.3535662,8.563982,2937702.8,6972521,.88678008,1.7033334,38.598331,59.703335,-.16333333,98.301666,.16833334
50,2,2011,130100,石家庄市,5.8747568,8.0600872,10.418184,3787,130000,Hebei (province),8.1969128,5.9622655,10.54505,8.2985935,7,3,,3,2,,1.0219996,1.2017798,1.3037807,9.3253832,4432498.5,9709944,.90331787,.47999999,35.970001,63.549999,-.0099999998,99.519997,.0099999998,4.9633331,7.2182226,10.129395,3851.1667,7.3550291,5.0445065,10.254897,7.4757252,8.5720539,2939254.5,7008920.5,.88802671,1.8766667,42.130001,55.991665,.17333333,98.121666,-.18000001
51,2,2012,130100,石家庄市,5.9345198,8.1483459,10.497739,4158,130000,Hebei (province),8.3002491,6.0508966,10.640972,8.4005175,7,3,,3,2,,1.0210223,1.1972828,1.29986,9.3228951,4950902,10240243,.9045946,.28999999,37.450001,62.259998,-.19,99.709999,.19,5.0232992,7.3106084,10.212009,4222.1665,7.447371,5.1368818,10.340415,7.5677385,8.5784168,3247800.8,7428766,.8882699,1.3016666,43.081665,55.616665,-.57499999,98.698334,.57666665
52,2,2013,130100,石家庄市,5.9909763,8.2313318,10.572497,4529,130000,Hebei (province),8.2915478,6.0943704,10.619871,8.3969126,7,3,,3,2,,1.0201035,1.1931345,1.29623,9.3184109,5034059,10289202,.89999616,.22,36.540001,63.240002,-.07,99.779999,.07,5.0800028,7.3974853,10.289637,4593.1665,7.4928722,5.1827145,10.370767,7.612669,8.5834379,3320548.3,7464776.5,.88868636,.91833335,49.366665,49.715,-.38333333,99.081665,.38333333
53,2,2014,130100,石家庄市,6.0442634,8.3095713,10.642984,4900,130000,Hebei (province),8.3734236,6.0952687,10.70693,8.4709797,7,3,,3,2,,1.0192553,1.189324,1.2928694,9.3107719,5112426.5,10335539,.90705144,.2,35.970001,63.830002,-.02,99.800003,.02,5.1335711,7.4793172,10.362747,4964.1665,7.5445986,5.1868849,10.424758,7.6593046,8.5851498,3353305.3,7498373.5,.89308584,.77999997,48.608334,50.611668,-.13833334,99.220001,.13833334
